property_id,listing_id,suburb,state,country,price,estimated_deposit_5_percent,estimated_deposit_10_percent,estimated_deposit_20_percent,estimated_stamp_duty_placeholder,property_type,bedrooms,bathrooms,parking,land_size_sqm,internal_size_sqm,year_built,property_age_years,strata_fees_per_quarter,council_rates_per_quarter,water_rates_per_quarter,listing_date,days_on_market,market_condition,inspection_interest_level,estimated_weekly_rent,estimated_rental_yield_percent,capital_growth_score,lifestyle_match_score,investment_quality_score,relative_affordability_score,nearest_train_or_metro_minutes,estimated_cbd_commute_minutes,nearest_school_distance_km,nearest_park_distance_km,nearest_shopping_distance_km,neighborhood_energy,home_personality,ideal_buyer_archetype,lifestyle_supported,desired_home_feeling,family_life_fit,remote_work_fit,social_living_fit,long_term_lifestyle_fit,maintenance_level,renovation_need,pet_friendliness,natural_light_quality,noise_level,privacy_level,storage_quality,outdoor_space_quality,work_from_home_suitability,hosting_suitability,buyer_identity_alignment,morning_lifestyle_experience,evening_lifestyle_experience,match_summary,risk_notes,full_property_profile_text
31,OCC-10031,Leppington,NSW,Australia,953134,47657,95313,190627,38125,Apartment,2,2,0,0,114,1996,30,969,512,175,2026-04-25,22,longer campaign,very strong,684,3.73,78,94,81,72,12,51,0.8,0.8,2.2,green and peaceful,Grounded family home,Grounded family home,"stable family routines, school proximity, calm weekends, long-term belonging","safe, warm, settled, protective",Strong,Moderate,Strong,Moderate,Moderate,Significant,Low,Strong,Low,Very Strong,Moderate,Large backyard,Excellent,Strong,"Best suited to someone who sees home as a base for stable family routines, school proximity, calm weekends, long-term belonging.","Mornings feel safe, warm, settled, protective, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a grounded family home in Leppington.,"Buyer should review strata, inspection reports, and comparable sales.","Property 31 is a apartment in Leppington designed around the lifestyle archetype: Grounded family home.
    It is listed at $953,134 and has been on the market for 22 days.
    The property supports stable family routines, school proximity, calm weekends, long-term belonging. The emotional feel is safe, warm, settled, protective.
    The local area feels green and peaceful, with an estimated CBD commute of 51 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 114 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.73% and a growth score of 78/100."
32,OCC-10032,Penrith,NSW,Australia,1378057,68903,137806,275611,55122,House,3,2,0,412,266,1996,30,0,468,187,2026-02-19,87,high enquiry,low,1269,4.79,90,73,92,48,13,35,4.5,2.4,1.0,premium and aspirational,Urban professional apartment,Urban professional apartment,"career-focused living, transport access, convenience, modern routines","efficient, polished, connected, energising",Strong,Moderate,Moderate,Very Strong,Moderate,Cosmetic,Low,Excellent,Low,Moderate,Limited,Courtyard,Moderate,Strong,"Best suited to someone who sees home as a base for career-focused living, transport access, convenience, modern routines.","Mornings feel efficient, polished, connected, energising, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a urban professional apartment in Penrith.,"Buyer should review strata, inspection reports, and comparable sales.","Property 32 is a house in Penrith designed around the lifestyle archetype: Urban professional apartment.
    It is listed at $1,378,057 and has been on the market for 87 days.
    The property supports career-focused living, transport access, convenience, modern routines. The emotional feel is efficient, polished, connected, energising.
    The local area feels premium and aspirational, with an estimated CBD commute of 35 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 266 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.79% and a growth score of 90/100."
33,OCC-10033,Blacktown,NSW,Australia,1089888,54494,108989,217978,43596,House,5,2,0,414,257,2010,16,0,629,157,2026-02-06,100,new listing,very strong,698,3.33,94,62,88,54,17,69,1.8,1.8,1.9,transport-rich and convenient,Nature-oriented retreat,Nature-oriented retreat,"peace, green space, slower mornings, emotional decompression","calm, restorative, private, grounded",Very Strong,Strong,Low,Strong,High,Significant,Low,Moderate,Moderate,Very Strong,Limited,None,Moderate,Strong,"Best suited to someone who sees home as a base for peace, green space, slower mornings, emotional decompression.","Mornings feel calm, restorative, private, grounded, supported by the suburb's transport-rich and convenient rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a nature-oriented retreat in Blacktown.,Buyer should compare price against recent local sales.,"Property 33 is a house in Blacktown designed around the lifestyle archetype: Nature-oriented retreat.
    It is listed at $1,089,888 and has been on the market for 100 days.
    The property supports peace, green space, slower mornings, emotional decompression. The emotional feel is calm, restorative, private, grounded.
    The local area feels transport-rich and convenient, with an estimated CBD commute of 69 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 257 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.33% and a growth score of 94/100."
34,OCC-10034,Penrith,NSW,Australia,1306329,65316,130633,261266,52253,Loft,2,2,0,0,112,2022,4,801,504,256,2026-01-31,106,new listing,strong,962,3.83,69,86,76,87,23,61,4.0,1.7,3.5,transport-rich and convenient,Luxury aspirational home,Luxury aspirational home,"status, comfort, privacy, premium lifestyle expression","elevated, spacious, impressive, refined",Very Strong,Strong,Strong,Strong,Low,Significant,Low,Moderate,Low,Moderate,Moderate,None,Excellent,Strong,"Best suited to someone who sees home as a base for status, comfort, privacy, premium lifestyle expression.","Mornings feel elevated, spacious, impressive, refined, supported by the suburb's transport-rich and convenient rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a luxury aspirational home in Penrith.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 34 is a loft in Penrith designed around the lifestyle archetype: Luxury aspirational home.
    It is listed at $1,306,329 and has been on the market for 106 days.
    The property supports status, comfort, privacy, premium lifestyle expression. The emotional feel is elevated, spacious, impressive, refined.
    The local area feels transport-rich and convenient, with an estimated CBD commute of 61 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 112 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.83% and a growth score of 69/100."
35,OCC-10035,Meadowbank,NSW,Australia,927476,46374,92748,185495,37099,Apartment,2,1,2,0,126,2022,4,1270,358,221,2026-03-28,50,high enquiry,moderate,590,3.31,85,74,61,57,4,38,2.8,1.1,2.4,practical and high-growth,Minimalist low-maintenance townhouse,Minimalist low-maintenance townhouse,"simplicity, easy upkeep, clean routines, low-friction living","simple, clean, ordered, peaceful",Very Strong,Very Strong,Low,Very Strong,High,Moderate,Low,Moderate,Moderate,Very Strong,Moderate,Courtyard,Strong,Low,"Best suited to someone who sees home as a base for simplicity, easy upkeep, clean routines, low-friction living.","Mornings feel simple, clean, ordered, peaceful, supported by the suburb's practical and high-growth rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a minimalist low-maintenance townhouse in Meadowbank.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 35 is a apartment in Meadowbank designed around the lifestyle archetype: Minimalist low-maintenance townhouse.
    It is listed at $927,476 and has been on the market for 50 days.
    The property supports simplicity, easy upkeep, clean routines, low-friction living. The emotional feel is simple, clean, ordered, peaceful.
    The local area feels practical and high-growth, with an estimated CBD commute of 38 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 1 bathrooms, 2 parking spaces, and approximately 126 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.31% and a growth score of 85/100."
36,OCC-10036,North Sydney,NSW,Australia,1413830,70692,141383,282766,56553,Townhouse,2,2,1,222,108,2007,19,443,380,162,2026-02-06,100,new listing,strong,1267,4.66,91,98,60,38,16,49,1.7,1.2,2.9,green and peaceful,Creative lifestyle loft,Creative lifestyle loft,"creative work, flexible space, expressive living, urban inspiration","expressive, open, flexible, imaginative",Very Strong,Very Strong,Very Strong,Strong,High,Significant,Moderate,Strong,Low,Very Strong,Limited,Courtyard,Strong,Low,"Best suited to someone who sees home as a base for creative work, flexible space, expressive living, urban inspiration.","Mornings feel expressive, open, flexible, imaginative, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a creative lifestyle loft in North Sydney.,Buyer should compare price against recent local sales.,"Property 36 is a townhouse in North Sydney designed around the lifestyle archetype: Creative lifestyle loft.
    It is listed at $1,413,830 and has been on the market for 100 days.
    The property supports creative work, flexible space, expressive living, urban inspiration. The emotional feel is expressive, open, flexible, imaginative.
    The local area feels green and peaceful, with an estimated CBD commute of 49 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 108 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.66% and a growth score of 91/100."
37,OCC-10037,Campbelltown,NSW,Australia,1260271,63014,126027,252054,50411,Loft,3,2,2,0,142,2014,12,746,520,194,2026-04-14,33,active,very strong,1122,4.63,73,80,62,35,4,20,1.2,2.8,3.1,transport-rich and convenient,Young couple starter home,Young couple starter home,"first-home momentum, affordability balance, future planning","hopeful, practical, fresh, future-focused",Moderate,Very Strong,Strong,Moderate,Moderate,None,Moderate,Moderate,Moderate,Moderate,Moderate,Large backyard,Strong,Excellent,"Best suited to someone who sees home as a base for first-home momentum, affordability balance, future planning.","Mornings feel hopeful, practical, fresh, future-focused, supported by the suburb's transport-rich and convenient rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a young couple starter home in Campbelltown.,Buyer should consider maintenance costs and long-term suitability.,"Property 37 is a loft in Campbelltown designed around the lifestyle archetype: Young couple starter home.
    It is listed at $1,260,271 and has been on the market for 33 days.
    The property supports first-home momentum, affordability balance, future planning. The emotional feel is hopeful, practical, fresh, future-focused.
    The local area feels transport-rich and convenient, with an estimated CBD commute of 20 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 142 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.63% and a growth score of 73/100."
38,OCC-10038,Zetland,NSW,Australia,832353,41618,83235,166471,33294,Apartment,2,1,2,0,57,2021,5,1670,473,206,2026-02-22,84,price adjusted,moderate,674,4.21,88,65,80,90,25,43,0.7,2.5,1.1,creative and social,Downsizer comfort home,Downsizer comfort home,"comfort, accessibility, lower maintenance, calm lifestyle","comfortable, secure, easy, relaxed",Low,Very Strong,Low,Very Strong,High,Cosmetic,Moderate,Strong,High,Very Strong,Limited,Balcony,Moderate,Moderate,"Best suited to someone who sees home as a base for comfort, accessibility, lower maintenance, calm lifestyle.","Mornings feel comfortable, secure, easy, relaxed, supported by the suburb's creative and social rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a downsizer comfort home in Zetland.,Buyer should compare price against recent local sales.,"Property 38 is a apartment in Zetland designed around the lifestyle archetype: Downsizer comfort home.
    It is listed at $832,353 and has been on the market for 84 days.
    The property supports comfort, accessibility, lower maintenance, calm lifestyle. The emotional feel is comfortable, secure, easy, relaxed.
    The local area feels creative and social, with an estimated CBD commute of 43 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 1 bathrooms, 2 parking spaces, and approximately 57 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.21% and a growth score of 88/100."
39,OCC-10039,Epping,NSW,Australia,1451661,72583,145166,290332,58066,Townhouse,4,2,2,159,197,2009,17,531,525,167,2026-02-03,103,longer campaign,very strong,1212,4.34,94,80,95,55,21,68,2.7,2.1,3.6,green and peaceful,Social hosting-oriented home,Social hosting-oriented home,"entertaining, open living, connection, weekend gatherings","warm, open, lively, welcoming",Strong,Strong,Low,Strong,High,None,Moderate,Strong,Moderate,Moderate,Limited,Courtyard,Strong,Low,"Best suited to someone who sees home as a base for entertaining, open living, connection, weekend gatherings.","Mornings feel warm, open, lively, welcoming, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a social hosting-oriented home in Epping.,"Buyer should review strata, inspection reports, and comparable sales.","Property 39 is a townhouse in Epping designed around the lifestyle archetype: Social hosting-oriented home.
    It is listed at $1,451,661 and has been on the market for 103 days.
    The property supports entertaining, open living, connection, weekend gatherings. The emotional feel is warm, open, lively, welcoming.
    The local area feels green and peaceful, with an estimated CBD commute of 68 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 197 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.34% and a growth score of 94/100."
40,OCC-10040,Norwest,NSW,Australia,1281699,64085,128170,256340,51268,Loft,2,1,1,0,124,2005,21,1160,320,213,2026-01-29,108,longer campaign,very strong,1171,4.75,76,65,87,76,22,50,2.4,2.9,1.9,green and peaceful,Long-term wealth builder property,Long-term wealth builder property,"capital growth, rental appeal, infrastructure access, asset strategy","strategic, practical, resilient, future-minded",Moderate,Strong,Strong,Strong,Moderate,Significant,Moderate,Excellent,High,Moderate,Strong,Courtyard,Moderate,Strong,"Best suited to someone who sees home as a base for capital growth, rental appeal, infrastructure access, asset strategy.","Mornings feel strategic, practical, resilient, future-minded, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a long-term wealth builder property in Norwest.,"Buyer should review strata, inspection reports, and comparable sales.","Property 40 is a loft in Norwest designed around the lifestyle archetype: Long-term wealth builder property.
    It is listed at $1,281,699 and has been on the market for 108 days.
    The property supports capital growth, rental appeal, infrastructure access, asset strategy. The emotional feel is strategic, practical, resilient, future-minded.
    The local area feels green and peaceful, with an estimated CBD commute of 50 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 1 bathrooms, 1 parking spaces, and approximately 124 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.75% and a growth score of 76/100."
41,OCC-10041,Meadowbank,NSW,Australia,1077949,53897,107795,215590,43118,Villa,4,1,1,184,174,2024,2,420,365,173,2026-05-02,15,longer campaign,strong,877,4.23,60,79,90,59,14,39,4.4,2.1,1.7,practical and high-growth,Grounded family home,Grounded family home,"stable family routines, school proximity, calm weekends, long-term belonging","safe, warm, settled, protective",Low,Strong,Strong,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate,Limited,None,Strong,Low,"Best suited to someone who sees home as a base for stable family routines, school proximity, calm weekends, long-term belonging.","Mornings feel safe, warm, settled, protective, supported by the suburb's practical and high-growth rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a grounded family home in Meadowbank.,"Buyer should review strata, inspection reports, and comparable sales.","Property 41 is a villa in Meadowbank designed around the lifestyle archetype: Grounded family home.
    It is listed at $1,077,949 and has been on the market for 15 days.
    The property supports stable family routines, school proximity, calm weekends, long-term belonging. The emotional feel is safe, warm, settled, protective.
    The local area feels practical and high-growth, with an estimated CBD commute of 39 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 1 bathrooms, 1 parking spaces, and approximately 174 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.23% and a growth score of 60/100."
42,OCC-10042,Campbelltown,NSW,Australia,2276105,113805,227610,455221,91044,House,4,2,1,417,302,2021,5,0,529,209,2026-04-22,25,high enquiry,moderate,1269,2.9,78,75,83,74,25,69,2.9,2.7,2.9,creative and social,Urban professional apartment,Urban professional apartment,"career-focused living, transport access, convenience, modern routines","efficient, polished, connected, energising",Strong,Strong,Moderate,Strong,High,Significant,Moderate,Strong,Moderate,Very Strong,Strong,Garden,Moderate,Moderate,"Best suited to someone who sees home as a base for career-focused living, transport access, convenience, modern routines.","Mornings feel efficient, polished, connected, energising, supported by the suburb's creative and social rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a urban professional apartment in Campbelltown.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 42 is a house in Campbelltown designed around the lifestyle archetype: Urban professional apartment.
    It is listed at $2,276,105 and has been on the market for 25 days.
    The property supports career-focused living, transport access, convenience, modern routines. The emotional feel is efficient, polished, connected, energising.
    The local area feels creative and social, with an estimated CBD commute of 69 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 302 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 2.9% and a growth score of 78/100."
43,OCC-10043,North Sydney,NSW,Australia,1089428,54471,108943,217886,43577,House,4,2,0,678,273,2004,22,0,512,163,2026-02-10,96,longer campaign,strong,1004,4.79,60,74,83,57,5,68,1.0,1.4,2.2,quiet and family-oriented,Nature-oriented retreat,Nature-oriented retreat,"peace, green space, slower mornings, emotional decompression","calm, restorative, private, grounded",Moderate,Strong,Low,Strong,Low,None,Moderate,Moderate,High,Very Strong,Moderate,Balcony,Moderate,Low,"Best suited to someone who sees home as a base for peace, green space, slower mornings, emotional decompression.","Mornings feel calm, restorative, private, grounded, supported by the suburb's quiet and family-oriented rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a nature-oriented retreat in North Sydney.,Buyer should compare price against recent local sales.,"Property 43 is a house in North Sydney designed around the lifestyle archetype: Nature-oriented retreat.
    It is listed at $1,089,428 and has been on the market for 96 days.
    The property supports peace, green space, slower mornings, emotional decompression. The emotional feel is calm, restorative, private, grounded.
    The local area feels quiet and family-oriented, with an estimated CBD commute of 68 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 273 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.79% and a growth score of 60/100."
44,OCC-10044,Macquarie Park,NSW,Australia,925534,46277,92553,185107,37021,Villa,3,2,0,314,180,1995,31,565,324,211,2026-05-12,5,longer campaign,very strong,724,4.07,62,78,70,54,11,33,3.8,1.7,3.0,urban and connected,Luxury aspirational home,Luxury aspirational home,"status, comfort, privacy, premium lifestyle expression","elevated, spacious, impressive, refined",Low,Moderate,Very Strong,Very Strong,High,None,High,Excellent,High,Moderate,Strong,Balcony,Strong,Excellent,"Best suited to someone who sees home as a base for status, comfort, privacy, premium lifestyle expression.","Mornings feel elevated, spacious, impressive, refined, supported by the suburb's urban and connected rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a luxury aspirational home in Macquarie Park.,"Buyer should review strata, inspection reports, and comparable sales.","Property 44 is a villa in Macquarie Park designed around the lifestyle archetype: Luxury aspirational home.
    It is listed at $925,534 and has been on the market for 5 days.
    The property supports status, comfort, privacy, premium lifestyle expression. The emotional feel is elevated, spacious, impressive, refined.
    The local area feels urban and connected, with an estimated CBD commute of 33 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 180 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.07% and a growth score of 62/100."
45,OCC-10045,Norwest,NSW,Australia,1484499,74225,148450,296900,59380,House,3,2,1,642,256,1997,29,0,429,154,2026-03-06,72,price adjusted,low,1068,3.74,85,62,95,59,19,54,2.4,3.0,2.3,practical and high-growth,Minimalist low-maintenance townhouse,Minimalist low-maintenance townhouse,"simplicity, easy upkeep, clean routines, low-friction living","simple, clean, ordered, peaceful",Strong,Moderate,Low,Very Strong,High,Moderate,Low,Moderate,Moderate,Very Strong,Moderate,Balcony,Excellent,Excellent,"Best suited to someone who sees home as a base for simplicity, easy upkeep, clean routines, low-friction living.","Mornings feel simple, clean, ordered, peaceful, supported by the suburb's practical and high-growth rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a minimalist low-maintenance townhouse in Norwest.,Buyer should consider maintenance costs and long-term suitability.,"Property 45 is a house in Norwest designed around the lifestyle archetype: Minimalist low-maintenance townhouse.
    It is listed at $1,484,499 and has been on the market for 72 days.
    The property supports simplicity, easy upkeep, clean routines, low-friction living. The emotional feel is simple, clean, ordered, peaceful.
    The local area feels practical and high-growth, with an estimated CBD commute of 54 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 256 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.74% and a growth score of 85/100."
46,OCC-10046,Leppington,NSW,Australia,961403,48070,96140,192281,38456,Townhouse,3,2,0,136,191,2020,6,650,446,241,2026-04-17,30,new listing,strong,880,4.76,85,76,57,83,9,22,1.6,1.0,1.7,premium and aspirational,Creative lifestyle loft,Creative lifestyle loft,"creative work, flexible space, expressive living, urban inspiration","expressive, open, flexible, imaginative",Strong,Moderate,Strong,Strong,Moderate,Significant,Moderate,Strong,Low,Strong,Strong,Garden,Strong,Strong,"Best suited to someone who sees home as a base for creative work, flexible space, expressive living, urban inspiration.","Mornings feel expressive, open, flexible, imaginative, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a creative lifestyle loft in Leppington.,"Buyer should review strata, inspection reports, and comparable sales.","Property 46 is a townhouse in Leppington designed around the lifestyle archetype: Creative lifestyle loft.
    It is listed at $961,403 and has been on the market for 30 days.
    The property supports creative work, flexible space, expressive living, urban inspiration. The emotional feel is expressive, open, flexible, imaginative.
    The local area feels premium and aspirational, with an estimated CBD commute of 22 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 191 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.76% and a growth score of 85/100."
47,OCC-10047,Cronulla,NSW,Australia,862760,43138,86276,172552,34510,Villa,2,2,0,230,167,2005,21,414,614,261,2026-04-29,18,price adjusted,low,740,4.46,77,88,57,81,24,38,1.6,1.8,1.8,practical and high-growth,Young couple starter home,Young couple starter home,"first-home momentum, affordability balance, future planning","hopeful, practical, fresh, future-focused",Low,Very Strong,Very Strong,Strong,High,Cosmetic,Low,Moderate,High,Very Strong,Moderate,None,Moderate,Low,"Best suited to someone who sees home as a base for first-home momentum, affordability balance, future planning.","Mornings feel hopeful, practical, fresh, future-focused, supported by the suburb's practical and high-growth rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a young couple starter home in Cronulla.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 47 is a villa in Cronulla designed around the lifestyle archetype: Young couple starter home.
    It is listed at $862,760 and has been on the market for 18 days.
    The property supports first-home momentum, affordability balance, future planning. The emotional feel is hopeful, practical, fresh, future-focused.
    The local area feels practical and high-growth, with an estimated CBD commute of 38 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 167 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.46% and a growth score of 77/100."
48,OCC-10048,Marrickville,NSW,Australia,1739484,86974,173948,347897,69579,House,3,2,2,546,295,2006,20,0,555,249,2026-02-15,91,high enquiry,low,1258,3.76,72,75,62,36,14,48,3.5,1.8,2.2,green and peaceful,Downsizer comfort home,Downsizer comfort home,"comfort, accessibility, lower maintenance, calm lifestyle","comfortable, secure, easy, relaxed",Strong,Strong,Very Strong,Moderate,High,Moderate,High,Strong,Low,Moderate,Limited,None,Strong,Moderate,"Best suited to someone who sees home as a base for comfort, accessibility, lower maintenance, calm lifestyle.","Mornings feel comfortable, secure, easy, relaxed, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a downsizer comfort home in Marrickville.,Buyer should consider maintenance costs and long-term suitability.,"Property 48 is a house in Marrickville designed around the lifestyle archetype: Downsizer comfort home.
    It is listed at $1,739,484 and has been on the market for 91 days.
    The property supports comfort, accessibility, lower maintenance, calm lifestyle. The emotional feel is comfortable, secure, easy, relaxed.
    The local area feels green and peaceful, with an estimated CBD commute of 48 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 295 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.76% and a growth score of 72/100."
49,OCC-10049,Castle Hill,NSW,Australia,1708603,85430,170860,341721,68344,House,5,3,1,713,166,2022,4,0,421,276,2026-01-18,119,new listing,strong,1206,3.67,69,67,67,85,8,65,3.3,2.1,0.9,green and peaceful,Social hosting-oriented home,Social hosting-oriented home,"entertaining, open living, connection, weekend gatherings","warm, open, lively, welcoming",Strong,Strong,Moderate,Very Strong,Low,None,Moderate,Strong,High,Very Strong,Moderate,Large backyard,Strong,Excellent,"Best suited to someone who sees home as a base for entertaining, open living, connection, weekend gatherings.","Mornings feel warm, open, lively, welcoming, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a social hosting-oriented home in Castle Hill.,"Buyer should review strata, inspection reports, and comparable sales.","Property 49 is a house in Castle Hill designed around the lifestyle archetype: Social hosting-oriented home.
    It is listed at $1,708,603 and has been on the market for 119 days.
    The property supports entertaining, open living, connection, weekend gatherings. The emotional feel is warm, open, lively, welcoming.
    The local area feels green and peaceful, with an estimated CBD commute of 65 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 3 bathrooms, 1 parking spaces, and approximately 166 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.67% and a growth score of 69/100."
50,OCC-10050,Liverpool,NSW,Australia,1135535,56777,113554,227107,45421,House,5,3,1,580,269,2019,7,0,477,222,2026-04-26,21,new listing,strong,882,4.04,74,70,65,55,7,47,2.4,2.6,3.4,premium and aspirational,Long-term wealth builder property,Long-term wealth builder property,"capital growth, rental appeal, infrastructure access, asset strategy","strategic, practical, resilient, future-minded",Moderate,Very Strong,Strong,Moderate,High,Moderate,High,Excellent,Low,Very Strong,Strong,Balcony,Excellent,Moderate,"Best suited to someone who sees home as a base for capital growth, rental appeal, infrastructure access, asset strategy.","Mornings feel strategic, practical, resilient, future-minded, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a long-term wealth builder property in Liverpool.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 50 is a house in Liverpool designed around the lifestyle archetype: Long-term wealth builder property.
    It is listed at $1,135,535 and has been on the market for 21 days.
    The property supports capital growth, rental appeal, infrastructure access, asset strategy. The emotional feel is strategic, practical, resilient, future-minded.
    The local area feels premium and aspirational, with an estimated CBD commute of 47 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 3 bathrooms, 1 parking spaces, and approximately 269 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.04% and a growth score of 74/100."
